timestamp,distance_cm,cluster_support,session_id,source_file
2026-07-09 13:27:24+00:00,105.35499999999999,4,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:25+00:00,104.47,3,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:29+00:00,106.25,5,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:30+00:00,106.06,1,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:32+00:00,106.27,1,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:33+00:00,106.43,1,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:34+00:00,105.485,2,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:35+00:00,105.285,4,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:36+00:00,104.94,7,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:37+00:00,105.22,5,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:38+00:00,105.34,4,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:39+00:00,104.94,8,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:40+00:00,104.69999999999999,6,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:41+00:00,104.47,8,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:42+00:00,104.47,8,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:43+00:00,104.47,6,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:44+00:00,104.3,9,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:45+00:00,104.28,8,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:46+00:00,104.28,5,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:47+00:00,104.305,4,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:48+00:00,104.4,6,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:49+00:00,105.36,3,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:50+00:00,104.93,8,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:51+00:00,105.305,6,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:52+00:00,105.78,5,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:53+00:00,104.96,3,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:54+00:00,105.35,3,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:55+00:00,104.935,6,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:56+00:00,104.96,5,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:57+00:00,105.4,5,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:58+00:00,105.35,8,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:59+00:00,105.12,3,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:28:00+00:00,105.59,5,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:28:01+00:00,105.0,3,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:28:02+00:00,104.56,7,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:28:03+00:00,104.07,5,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:28:04+00:00,104.05,7,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:28:05+00:00,104.06,4,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:28:06+00:00,104.05,5,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:28:07+00:00,103.9,3,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:28:08+00:00,103.655,6,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:28:09+00:00,103.63,6,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:28:10+00:00,103.62,6,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:28:11+00:00,103.63,4,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:28:12+00:00,103.47,8,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:28:13+00:00,103.62,5,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:28:14+00:00,103.64,7,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:28:15+00:00,103.83500000000001,6,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:28:16+00:00,103.9,5,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:28:17+00:00,103.48,10,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:28:18+00:00,103.47,6,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:28:19+00:00,103.53,6,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:28:20+00:00,103.62,5,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:28:21+00:00,103.9,5,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:28:22+00:00,104.47,5,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:28:23+00:00,104.09,3,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:28:24+00:00,104.49,5,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:28:25+00:00,104.47999999999999,6,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:28:26+00:00,104.07,4,session-1783603457869-ue25e2,filtertrack-samples.csv
