sessionId,deviceAddress,filterId,index,timestamp,offsetMs,distanceCm
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,723,2026-07-09T13:27:21.892000Z,1783603641892,54.97
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,724,2026-07-09T13:27:21.982000Z,1783603641982,105.14
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,725,2026-07-09T13:27:22.072000Z,1783603642072,104.73
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,726,2026-07-09T13:27:22.164000Z,1783603642164,105.59
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,727,2026-07-09T13:27:22.298000Z,1783603642298,105.15
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,728,2026-07-09T13:27:22.701000Z,1783603642701,105.0
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,729,2026-07-09T13:27:22.852000Z,1783603642852,105.0
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,730,2026-07-09T13:27:23.018000Z,1783603643018,104.98
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,731,2026-07-09T13:27:23.198000Z,1783603643198,104.93
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,732,2026-07-09T13:27:23.514000Z,1783603643514,105.36
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,733,2026-07-09T13:27:23.602000Z,1783603643602,104.94
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,734,2026-07-09T13:27:23.753000Z,1783603643753,104.8
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,735,2026-07-09T13:27:24.010000Z,1783603644010,105.35
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,736,2026-07-09T13:27:24.142000Z,1783603644142,105.36
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,737,2026-07-09T13:27:24.367000Z,1783603644367,105.36
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,738,2026-07-09T13:27:24.908000Z,1783603644908,104.49
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,739,2026-07-09T13:27:25.057000Z,1783603645057,104.47
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,740,2026-07-09T13:27:25.133000Z,1783603645133,54.15
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,741,2026-07-09T13:27:25.222000Z,1783603645222,104.47
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,742,2026-07-09T13:27:25.408000Z,1783603645408,104.51
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,743,2026-07-09T13:27:25.808000Z,1783603645808,114.94
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,744,2026-07-09T13:27:25.943000Z,1783603645943,108.21
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,745,2026-07-09T13:27:26.033000Z,1783603646033,53.89
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,746,2026-07-09T13:27:26.122000Z,1783603646122,105.62
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,747,2026-07-09T13:27:26.214000Z,1783603646214,105.42
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,748,2026-07-09T13:27:26.679000Z,1783603646679,105.59
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,749,2026-07-09T13:27:27.247000Z,1783603647247,118.24
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,750,2026-07-09T13:27:27.336000Z,1783603647336,121.35
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,751,2026-07-09T13:27:27.653000Z,1783603647653,116.29
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,752,2026-07-09T13:27:27.743000Z,1783603647743,53.48
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,753,2026-07-09T13:27:28.012000Z,1783603648012,126.51
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,754,2026-07-09T13:27:28.147000Z,1783603648147,114.93
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,755,2026-07-09T13:27:28.327000Z,1783603648327,108.03
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,756,2026-07-09T13:27:28.418000Z,1783603648418,116.29
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,757,2026-07-09T13:27:28.551000Z,1783603648551,116.25
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,758,2026-07-09T13:27:28.703000Z,1783603648703,114.52
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,759,2026-07-09T13:27:28.867000Z,1783603648867,107.58
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,760,2026-07-09T13:27:28.957000Z,1783603648957,107.54
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,761,2026-07-09T13:27:29.183000Z,1783603649183,106.69
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,762,2026-07-09T13:27:29.272000Z,1783603649272,106.74
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,763,2026-07-09T13:27:29.365000Z,1783603649365,106.25
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,764,2026-07-09T13:27:29.680000Z,1783603649680,105.89
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,765,2026-07-09T13:27:29.858000Z,1783603649858,105.99
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,766,2026-07-09T13:27:30.128000Z,1783603650128,52.8
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,767,2026-07-09T13:27:30.180000Z,1783603650180,106.06
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,768,2026-07-09T13:27:30.353000Z,1783603650353,116.04
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,769,2026-07-09T13:27:31.121000Z,1783603651121,120.3
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,770,2026-07-09T13:27:31.122000Z,1783603651122,122.39
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,771,2026-07-09T13:27:31.342000Z,1783603651342,115.17
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,772,2026-07-09T13:27:31.400000Z,1783603651400,115.59
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,773,2026-07-09T13:27:31.611000Z,1783603651611,114.31
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,774,2026-07-09T13:27:31.792000Z,1783603651792,115.62
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,775,2026-07-09T13:27:32.016000Z,1783603652016,116.48
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,776,2026-07-09T13:27:32.198000Z,1783603652198,106.27
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,777,2026-07-09T13:27:32.467000Z,1783603652467,52.16
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,778,2026-07-09T13:27:32.647000Z,1783603652647,119.34
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,779,2026-07-09T13:27:32.962000Z,1783603652962,52.16
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,780,2026-07-09T13:27:33.143000Z,1783603653143,114.31
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,781,2026-07-09T13:27:33.231000Z,1783603653231,115.2
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,782,2026-07-09T13:27:33.457000Z,1783603653457,114.73
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,783,2026-07-09T13:27:33.547000Z,1783603653547,106.43
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,784,2026-07-09T13:27:33.773000Z,1783603653773,114.75
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,785,2026-07-09T13:27:33.998000Z,1783603653998,114.31
